depvar;genitive_type;por_length_words;pum_length_words;animacy;alpha_persistence_S;alpha_persistence_OF;alpha_persistence_NN;beta_persistence_S;beta_persistence_OF;beta_persistence_NN;TTR;por_thematicity_ptw;pum_thematicity_ptw;final_sibilancy;time;por_head_noun;pum_head_noun;register;filename;period;year;gen_phrase
0;OF;3;1;non-animate;no;no;yes;no;yes;yes;33;0.86;1.3;no;-0.245451562;OTHER;OTHER;news;1819mor2.n5b;1800-1849;1819;the regulation of the 13th june last
0;OF;2;1;non-animate;no;yes;no;no;yes;yes;36;0.86;0.43;no;-0.245451562;OTHER;intentions;news;1819mor2.n5b;1800-1849;1819;the intentions of the 28th article
0;OF;3;1;non-animate;no;no;no;no;yes;no;46;0.86;0.43;no;-0.245451562;OTHER;OTHER;news;1819mor2.n5b;1800-1849;1819;payment of this last mentioned duty
0;OF;4;1;non-animate;no;yes;no;no;yes;no;38;0.43;0.43;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the interval of the session of the chambers
0;OF;2;1;non-animate;no;yes;no;no;yes;no;43;0.87;0.87;no;-0.215451562;OTHER;provisions;news;1822eva1.n5b;1800-1849;1822;the provisions of the former law
0;OF;1;1;non-animate;no;yes;no;no;yes;no;43;0.43;0.43;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the levying of a poor-rate
0;OF;3;1;non-animate;no;yes;no;no;yes;no;40;0.43;0.87;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the evil of such a tax
0;OF;1;1;non-animate;no;yes;no;no;yes;no;41;1.3;0.43;yes;-0.215451562;OTHER;views;news;1822eva1.n5b;1800-1849;1822;the views of the cortes
0;OF;4;1;non-animate;no;yes;no;no;yes;yes;40;1.3;0.87;yes;-0.215451562;OTHER;report;news;1822eva1.n5b;1800-1849;1822;the report of the commission of the cortes
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;39;1.74;0.43;yes;-0.215451562;OTHER;conduct;news;1822eva1.n5b;1800-1849;1822;the conduct of the authorities
0;OF;4;1;non-animate;no;no;no;no;yes;no;42;0.87;0.43;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;masters of the important city of erzerum
0;OF;1;1;animate;no;yes;no;no;yes;no;45;1.74;0.87;yes;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the activity of the authorities
0;OF;3;1;non-animate;no;yes;no;no;yes;no;44;0.87;0.43;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the safety of persons and property
0;OF;5;2;non-animate;no;no;no;no;yes;yes;42;0.43;0.87;no;-0.215451562;OTHER;part;news;1822eva1.n5b;1800-1849;1822;the early part of the insurrection in walachia and meldavia
1;S;1;1;animate;no;no;no;no;yes;yes;42;0.87;0.43;no;-0.215451562;president;OTHER;news;1822eva1.n5b;1800-1849;1822;presidents message
0;OF;3;1;non-animate;no;no;no;no;yes;no;42;0.43;0.43;no;-0.215451562;OTHER;account;news;1822eva1.n5b;1800-1849;1822;account of their probable decay
0;OF;1;1;non-animate;no;yes;no;no;yes;no;42;2.17;0.87;yes;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the offences of the journals
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;44;0.43;0.43;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the proceeds of a loan
0;OF;1;1;animate;no;no;yes;no;yes;no;40;1.74;0.43;no;-0.215451562;majesty;right;news;1822eva1.n5b;1800-1849;1822;the right of his majesty
0;OF;1;1;non-animate;no;yes;no;yes;yes;yes;40;1.3;0.43;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the consecrating of the chapel
0;OF;2;1;non-animate;no;no;no;no;no;yes;45;0.87;0.87;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the 5th of february next
0;OF;3;1;non-animate;no;no;no;no;yes;yes;35;0.87;0.87;no;-0.215451562;OTHER;occasion;news;1822eva1.n5b;1800-1849;1822;the occasion of his majestys public entry
0;OF;1;2;animate;no;yes;no;yes;yes;yes;36;0.43;0.43;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the enthusiastic cheers of the multitude
0;OF;5;1;animate;no;yes;no;yes;yes;no;39;0.43;0.43;yes;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the heads of the horses belonging to his suite
0;OF;2;2;non-animate;no;yes;no;no;yes;yes;43;0.87;0.43;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the last mark of their respect
0;OF;4;1;non-animate;no;yes;no;no;yes;no;40;0.43;0.43;yes;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the amount of the same quarter last year
0;OF;1;1;non-animate;no;yes;no;no;yes;no;45;0.43;0.87;no;-0.215451562;island;inhabitants;news;1822eva1.n5b;1800-1849;1822;the inhabitants of this island
0;OF;1;1;non-animate;no;no;no;no;no;yes;45;0.43;0.87;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the vicinity of that port
0;OF;1;2;non-animate;no;yes;no;no;yes;yes;43;1.3;0.87;no;-0.215451562;town;OTHER;news;1822eva1.n5b;1800-1849;1822;the immediate vicinity of this town
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;40;1.74;0.87;no;-0.215451562;day;morning;news;1822eva1.n5b;1800-1849;1822;the morning of that day
1;S;1;1;non-animate;no;yes;no;no;yes;yes;41;1.74;0.43;no;-0.215451562;day;OTHER;news;1822eva1.n5b;1800-1849;1822;days shooting
0;OF;2;1;non-animate;yes;no;no;yes;yes;yes;38;0.43;1.3;no;-0.215451562;OTHER;way;news;1822eva1.n5b;1800-1849;1822;the way of further temptation
0;OF;2;1;animate;no;no;no;no;no;yes;42;0.87;0.43;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the neck of w irving
0;OF;1;1;non-animate;no;yes;yes;no;yes;yes;44;1.3;0.43;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the west of the county
0;OF;1;2;non-animate;no;no;no;no;no;yes;41;0.87;0.43;yes;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the domiciliary visits of the police
0;OF;1;1;animate;no;yes;no;no;yes;no;35;1.74;0.87;no;-0.215451562;king;authority;news;1822eva1.n5b;1800-1849;1822;the authority of the king
0;OF;2;1;animate;no;yes;no;no;yes;yes;45;0.43;1.74;no;-0.215451562;OTHER;house;news;1822eva1.n5b;1800-1849;1822;the house of a mr condon
0;OF;3;1;non-animate;no;yes;no;no;yes;yes;46;0.87;0.43;yes;-0.215451562;months;course;news;1822eva1.n5b;1800-1849;1822;the course of the last six months
0;OF;5;1;animate;no;yes;no;no;yes;yes;43;2.61;0.43;no;-0.215451562;one;room;news;1822eva1.n5b;1800-1849;1822;the room of one whom he had ejected
1;S;1;1;animate;no;no;yes;no;yes;yes;41;1.3;1.74;no;-0.215451562;OTHER;house;news;1822eva1.n5b;1800-1849;1822;gormans house
0;OF;2;1;non-animate;no;yes;no;no;yes;no;33;0.43;0.43;yes;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the stability of constitutional institutions
0;OF;1;2;non-animate;no;yes;no;no;yes;yes;41;0.43;0.87;no;-0.215451562;OTHER;part;news;1822eva1.n5b;1800-1849;1822;the upper part of the mansion
0;OF;2;1;animate;no;yes;no;no;yes;yes;42;0.43;0.43;no;-0.215451562;OTHER;OTHER;news;1822eva1.n5b;1800-1849;1822;the sister of mrs murray
1;S;1;1;animate;no;yes;no;no;yes;no;43;0.87;0.87;no;-0.215451562;father;OTHER;news;1822eva1.n5b;1800-1849;1822;fathers pistol
0;OF;1;1;animate;yes;yes;no;yes;yes;no;43;0.87;0.43;no;-0.215451562;family;OTHER;news;1822eva1.n5b;1800-1849;1822;the consternation of the family
0;OF;1;3;non-animate;yes;yes;no;no;yes;yes;44;0.5;0.5;no;-0.215451562;OTHER;OTHER;news;1822eva2.n5b;1800-1849;1822;the most strange perversion of the phrase
0;OF;1;1;non-animate;yes;no;no;no;yes;no;42;0.5;0.5;yes;-0.215451562;OTHER;OTHER;news;1822eva2.n5b;1800-1849;1822;the descent of honours
0;OF;1;4;animate;yes;yes;no;no;yes;no;43;2.5;0.5;yes;-0.215451562;parents;OTHER;news;1822eva2.n5b;1800-1849;1822;the feelings and unavoidable wishes of parents
0;OF;1;1;animate;yes;yes;no;no;yes;yes;38;2.5;2.5;no;-0.215451562;god;OTHER;news;1822eva2.n5b;1800-1849;1822;the laws of god
0;OF;2;1;non-animate;yes;yes;no;no;yes;yes;40;0.5;0.5;yes;-0.215451562;OTHER;consequences;news;1822eva2.n5b;1800-1849;1822;the consequences of his own rashness
0;OF;1;1;non-animate;yes;yes;no;no;yes;no;45;2.5;1;no;-0.215451562;act;OTHER;news;1822eva2.n5b;1800-1849;1822;the amendment of the act
0;OF;1;3;non-animate;yes;yes;no;no;yes;no;40;9.49;2;no;-0.215451562;OTHER;OTHER;news;1822eva2.n5b;1800-1849;1822;the very worst principle of the law
0;OF;3;1;animate;yes;no;yes;no;yes;yes;44;0.5;1;yes;-0.215451562;OTHER;consent;news;1822eva2.n5b;1800-1849;1822;consent of parents or guardians
0;OF;2;1;animate;yes;no;no;no;no;no;39;1.5;0.5;no;-0.215451562;children;OTHER;news;1822eva2.n5b;1800-1849;1822;the maintenance of the bastard children
0;OF;1;1;animate;yes;yes;no;no;yes;yes;39;2.5;1.5;yes;-0.215451562;parents;feelings;news;1822eva2.n5b;1800-1849;1822;the feelings of parents
0;OF;2;3;non-animate;yes;yes;no;no;yes;yes;39;1;2.5;no;-0.215451562;life;principles;news;1822eva2.n5b;1800-1849;1822;the customs and principles of savage life
0;OF;1;3;non-animate;yes;yes;no;no;yes;no;42;0.5;2.5;yes;-0.215451562;parties;property;news;1822eva2.n5b;1800-1849;1822;the rank and property of the parties
0;OF;1;1;animate;yes;yes;no;no;yes;no;40;1.5;1;no;-0.215451562;children;OTHER;news;1822eva2.n5b;1800-1849;1822;the errors of his children
0;OF;1;1;animate;yes;no;no;no;no;no;38;2.5;0.5;yes;-0.215451562;parents;OTHER;news;1822eva2.n5b;1800-1849;1822;the disposal of the parents
0;OF;2;3;animate;yes;yes;no;no;yes;no;44;1.5;0.5;no;-0.215451562;chancellor;OTHER;news;1822eva2.n5b;1800-1849;1822;the argument and statement of the lord chancellor
1;S;1;2;animate;no;yes;no;no;yes;yes;40;2.5;3.49;no;-0.215451562;man;son;news;1822eva2.n5b;1800-1849;1822;mans only son
1;S;1;1;animate;yes;no;no;yes;yes;no;40;3.49;0.5;no;-0.215451562;son;OTHER;news;1822eva2.n5b;1800-1849;1822;sons disobedience
1;S;1;1;animate;yes;no;no;yes;yes;no;41;2;1.5;no;-0.215451562;father;feelings;news;1822eva2.n5b;1800-1849;1822;fathers feelings
0;OF;1;3;animate;no;no;no;no;yes;no;42;1;0.5;no;-0.215451562;family;OTHER;news;1822eva2.n5b;1800-1849;1822;the infamy and bastardy of the family
0;OF;1;1;non-animate;no;no;no;no;yes;no;43;1;1;no;-0.215451562;OTHER;attention;news;1822eva2.n5b;1800-1849;1822;the attention of the legislature
0;OF;2;1;animate;no;yes;no;no;yes;yes;42;1;2.5;no;-0.215451562;OTHER;OTHER;news;1822eva2.n5b;1800-1849;1822;the marriages of the direct succession
0;OF;1;2;non-animate;no;no;no;no;yes;yes;44;1.5;0.5;no;-0.215451562;society;OTHER;news;1822eva2.n5b;1800-1849;1822;the whole frame of society
0;OF;1;2;non-animate;no;yes;no;no;yes;yes;45;1;2.5;no;-0.215451562;OTHER;part;news;1822eva2.n5b;1800-1849;1822;the retrospective part of the amendment
0;OF;1;2;non-animate;yes;no;no;no;yes;yes;45;1.5;0.5;no;-0.215451562;question;OTHER;news;1822eva2.n5b;1800-1849;1822;the moral understanding of the question
0;OF;2;2;non-animate;no;no;no;no;yes;yes;41;0.5;2.5;no;-0.215451562;OTHER;principles;news;1822eva2.n5b;1800-1849;1822;the modern principles of political economy
0;OF;1;4;animate;no;yes;no;no;yes;yes;45;1.5;0.5;no;-0.215451562;people;OTHER;news;1822eva2.n5b;1800-1849;1822;the rights prosperity and morals of the people
0;OF;2;1;non-animate;no;no;no;no;yes;no;41;0.5;0.5;no;-0.215451562;OTHER;OTHER;news;1822eva2.n5b;1800-1849;1822;the feet of the monied interest
0;OF;1;2;non-animate;no;yes;no;no;yes;yes;42;0.5;0.5;no;-0.215451562;OTHER;OTHER;news;1822eva2.n5b;1800-1849;1822;the juvenile branches of the nobility
0;OF;1;1;non-animate;yes;yes;no;no;yes;no;44;0.5;0.5;no;-0.215451562;OTHER;aid;news;1822eva2.n5b;1800-1849;1822;aid of seduction
0;OF;3;1;non-animate;no;yes;no;no;yes;yes;44;1;0.5;no;-0.215451562;OTHER;OTHER;news;1822eva2.n5b;1800-1849;1822;the claim of the soi-disante princess olive
0;OF;2;1;animate;no;yes;no;no;yes;yes;40;1.5;3;no;-0.215451562;king;will;news;1822eva2.n5b;1800-1849;1822;the will of the late king
1;S;1;1;animate;no;yes;no;no;yes;yes;37;1.5;0.5;no;-0.215451562;king;OTHER;news;1822eva2.n5b;1800-1849;1822;kings advocate
0;OF;2;1;non-animate;yes;yes;no;no;yes;no;44;0.5;0.5;no;-0.215451562;week;OTHER;news;1822eva2.n5b;1800-1849;1822;the debates of last week
0;OF;2;1;non-animate;no;no;no;no;yes;no;41;0.49;0.49;no;-0.195451562;OTHER;OTHER;science;1824home;1800-1849;1824;the termination of each oviduct
0;OF;1;3;non-animate;no;yes;no;no;yes;no;43;0.98;0.98;yes;-0.195451562;OTHER;OTHER;science;1824home;1800-1849;1824;a very considerable enlargement of those tubes
1;S;1;1;animate;no;yes;no;no;yes;no;40;3.43;3.43;no;-0.195451562;pullet;egg;science;1824home;1800-1849;1824;pullets egg
0;OF;1;1;animate;yes;yes;no;yes;yes;no;39;2.94;0.98;no;-0.195451562;frog;OTHER;science;1824home;1800-1849;1824;the oviducts of the frog
0;OF;4;2;animate;yes;yes;no;yes;yes;no;40;0.49;0.49;no;-0.195451562;OTHER;OTHER;science;1824home;1800-1849;1824;the enlarged horns of the uterus of the quadruped
1;S;1;1;animate;no;no;no;no;yes;no;40;3.43;3.43;no;-0.195451562;pullet;egg;science;1824home;1800-1849;1824;pullets egg
1;S;1;1;animate;no;no;no;no;yes;yes;42;3.43;3.43;no;-0.195451562;pullet;egg;science;1824home;1800-1849;1824;pullets egg
1;S;1;1;animate;no;no;no;no;no;no;44;3.43;3.43;no;-0.195451562;pullet;egg;science;1824home;1800-1849;1824;pullets egg
1;S;1;1;animate;yes;no;no;yes;yes;no;44;3.43;3.43;no;-0.195451562;pullet;egg;science;1824home;1800-1849;1824;pullets egg
1;S;1;1;animate;no;yes;no;no;yes;yes;35;3.43;3.43;no;-0.195451562;pullet;egg;science;1824home;1800-1849;1824;pullets egg
0;OF;2;1;animate;no;yes;no;no;yes;no;33;0.49;0.49;no;-0.195451562;OTHER;OTHER;science;1824home;1800-1849;1824;the pencil of mr bauer
1;S;1;1;animate;no;yes;no;no;yes;yes;43;2.94;0.49;no;-0.195451562;frog;OTHER;science;1824home;1800-1849;1824;frogs spawn
0;OF;1;2;non-animate;yes;yes;no;yes;yes;yes;43;0.98;0.49;no;-0.195451562;sun;effect;science;1824home;1800-1849;1824;the scorching effect of the sun
0;OF;2;2;non-animate;no;yes;no;no;yes;yes;45;0.49;0.98;yes;-0.195451562;plants;OTHER;science;1824home;1800-1849;1824;the twisted leaves of the water plants
0;OF;2;2;non-animate;no;yes;yes;no;yes;yes;44;0.49;0.49;yes;-0.195451562;OTHER;force;science;1824home;1800-1849;1824;the full force of the suns rays
0;OF;2;1;animate;no;yes;no;no;yes;no;33;1.47;4.9;yes;-0.195451562;animals;OTHER;science;1824home;1800-1849;1824;the ova of hot-blooded animals
0;OF;2;1;non-animate;no;yes;no;no;yes;yes;41;0.49;0.49;no;-0.195451562;paper;object;science;1824home;1800-1849;1824;the object of the present paper
0;OF;1;2;non-animate;no;yes;no;no;yes;yes;41;0.49;1.47;no;-0.195451562;OTHER;portion;science;1824home;1800-1849;1824;the mathematical portion of crystallography
0;OF;2;2;non-animate;no;yes;no;no;yes;no;38;0.49;0.98;no;-0.195451562;OTHER;OTHER;science;1824home;1800-1849;1824;simple formulae of universal application
0;OF;1;2;non-animate;no;no;no;no;yes;yes;39;0.98;5.39;yes;-0.195451562;substance;angles;science;1824home;1800-1849;1824;the primary angles of the substance
0;OF;9;1;non-animate;no;yes;no;no;yes;no;40;0.49;1.47;no;-0.195451562;OTHER;investigation;science;1824home;1800-1849;1824;the investigation of a great variety of properties of crystals of various kinds
0;OF;1;1;non-animate;no;yes;no;no;yes;no;39;2.94;0.49;no;-0.195451562;OTHER;consideration;science;1824home;1800-1849;1824;the consideration of the rhomboid
0;OF;2;2;non-animate;no;yes;no;no;yes;yes;41;2.94;5.39;yes;-0.195451562;OTHER;angles;science;1824home;1800-1849;1824;the trihedral angles of small rhomboids
0;OF;2;2;non-animate;no;yes;no;no;yes;yes;35;0.49;1.96;no;-0.195451562;body;form;science;1824home;1800-1849;1824;the primary form of a crystalline body
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;38;1.47;1.47;yes;-0.195451562;OTHER;means;science;1824home;1800-1849;1824;means of these co-ordinates
0;OF;4;3;non-animate;no;no;no;no;no;yes;39;2.45;1.96;no;-0.195451562;OTHER;OTHER;science;1824home;1800-1849;1824;the position or law of formation of the plane
0;OF;1;1;non-animate;no;no;no;no;no;yes;40;9.81;0.49;no;-0.195451562;OTHER;direction;science;1824home;1800-1849;1824;the direction of the plane
0;OF;5;1;non-animate;no;no;no;no;yes;no;40;2.45;0.98;yes;-0.195451562;OTHER;OTHER;science;1824home;1800-1849;1824;the arrangement of the three quantities p q r
0;OF;3;1;non-animate;no;yes;no;no;yes;no;39;3.43;0.49;yes;-0.195451562;OTHER;OTHER;science;1824home;1800-1849;1824;the similarity of its three edges
0;OF;1;1;animate;no;yes;no;no;yes;no;40;2.94;4.9;no;-0.195451562;frog;OTHER;science;1824home;1800-1849;1824;the ova of the frog
0;OF;6;1;non-animate;no;yes;yes;no;yes;yes;41;0.47;0.47;yes;-0.185451562;OTHER;OTHER;science;1825barl;1800-1849;1825;the mandrel of one of the powerful turning lathes
0;OF;7;1;non-animate;no;no;no;no;no;yes;46;8.07;0.95;no;-0.185451562;OTHER;cause;science;1825barl;1800-1849;1825;the cause of the rotation of the earths magnetic poles
0;OF;4;2;non-animate;no;yes;yes;no;yes;yes;37;0.47;0.47;no;-0.185451562;OTHER;work;science;1825barl;1800-1849;1825;the iron work of the lathe and other machinery
0;OF;4;1;animate;no;yes;yes;no;yes;yes;41;0.47;0.95;no;-0.185451562;OTHER;kindness;science;1825barl;1800-1849;1825;the kindness of colonel sir alexander dickson
1;S;1;2;non-animate;no;no;no;no;yes;yes;45;0.47;0.95;yes;-0.185451562;OTHER;OTHER;science;1825barl;1800-1849;1825;earths magnetic poles
0;OF;2;1;non-animate;no;yes;no;no;yes;no;36;2.37;0.95;no;-0.185451562;one;diameter;science;1825barl;1800-1849;1825;the diameter of the small one
0;OF;3;2;non-animate;yes;yes;yes;yes;yes;yes;43;0.95;0.47;yes;-0.185451562;powers;OTHER;science;1825barl;1800-1849;1825;the apparent irregularity of the terrestrial directive powers
0;OF;1;2;non-animate;no;yes;no;no;yes;yes;37;2.37;1.9;no;-0.185451562;latter;end;science;1825barl;1800-1849;1825;the north end of the latter
0;OF;2;2;non-animate;no;no;no;no;yes;no;40;1.9;8.07;yes;-0.185451562;forces;direction;science;1825barl;1800-1849;1825;the precise direction of the new forces
0;OF;1;2;non-animate;no;yes;no;no;yes;no;35;5.22;0.47;no;-0.185451562;OTHER;power;science;1825barl;1800-1849;1825;the cohesive power of the iron
0;OF;1;2;non-animate;no;yes;no;no;yes;no;37;1.9;0.95;no;-0.185451562;earth;powers;science;1825barl;1800-1849;1825;the inductive powers of the earth
0;OF;1;2;non-animate;no;yes;no;no;yes;no;39;5.7;9.02;no;-0.185451562;ball;OTHER;science;1825barl;1800-1849;1825;the magnetic axis of the ball
0;OF;4;1;animate;no;yes;no;no;yes;no;39;0.47;0.95;no;-0.185451562;OTHER;kindness;science;1825barl;1800-1849;1825;kindness of general cuppage and millar
0;OF;6;1;non-animate;no;yes;no;no;yes;yes;33;0.48;1.93;no;-0.185451562;OTHER;time;science;1825chri;1800-1849;1825;the time of half a revolution of the magnet
0;OF;2;1;non-animate;no;yes;no;no;yes;yes;38;4.33;0.96;no;-0.185451562;other;side;science;1825chri;1800-1849;1825;the side of each other
0;OF;3;1;non-animate;no;yes;no;no;yes;yes;37;0.96;2.41;no;-0.185451562;end;direction;science;1825chri;1800-1849;1825;the direction of its south end
0;OF;5;1;non-animate;no;yes;no;no;yes;yes;43;0.96;2.41;no;-0.185451562;end;direction;science;1825chri;1800-1849;1825;the direction of the south end of the needle
0;OF;2;1;non-animate;no;yes;no;no;yes;yes;40;0.96;0.48;no;-0.185451562;OTHER;appearance;science;1825chri;1800-1849;1825;the appearance of an entire circle
0;OF;1;2;non-animate;no;yes;no;no;yes;no;37;8.67;1.44;yes;-0.185451562;OTHER;power;science;1825chri;1800-1849;1825;the fourth power of the distance
0;OF;1;1;non-animate;no;yes;no;no;yes;no;39;4.81;1.44;yes;-0.185451562;force;OTHER;science;1825chri;1800-1849;1825;the law of force
0;OF;3;1;non-animate;no;yes;yes;no;yes;yes;28;1.44;8.67;yes;-0.185451562;surface;distance;science;1825chri;1800-1849;1825;the distance of its upper surface
0;OF;4;1;non-animate;no;yes;yes;no;yes;yes;28;1.93;8.67;no;-0.185451562;OTHER;distance;science;1825chri;1800-1849;1825;the distance of the pole of the needle
0;OF;2;1;non-animate;no;no;yes;no;yes;yes;42;4.33;0.96;no;-0.185451562;other;side;science;1825chri;1800-1849;1825;the side of each other
0;OF;2;2;non-animate;no;yes;yes;no;yes;yes;43;5.3;5.78;no;-0.185451562;OTHER;OTHER;science;1825chri;1800-1849;1825;with their poles of the same name
0;OF;4;2;non-animate;no;yes;no;no;yes;no;38;14.44;1.44;no;-0.185451562;OTHER;surface;science;1825chri;1800-1849;1825;the upper surface of the magnets and the copper
0;OF;1;1;non-animate;no;yes;no;no;yes;no;31;10.11;0.48;yes;-0.185451562;OTHER;OTHER;science;1825chri;1800-1849;1825;the axes of the magnets
0;OF;2;1;non-animate;no;yes;no;no;yes;yes;38;5.78;2.41;no;-0.185451562;OTHER;case;science;1825chri;1800-1849;1825;the case of the copper plate
0;OF;1;2;non-animate;no;yes;yes;no;yes;yes;37;7.02;2.51;no;-0.185451562;OTHER;effect;science;1825davy;1800-1849;1825;the preserving effect of the zinc
0;OF;1;2;non-animate;no;yes;no;no;yes;yes;34;7.02;2.51;no;-0.185451562;OTHER;effect;science;1825davy;1800-1849;1825;the preserving effect of the zinc
0;OF;3;1;non-animate;no;yes;no;no;yes;no;41;1.51;1.51;no;-0.185451562;kind;OTHER;science;1825davy;1800-1849;1825;the circumstances of this kind of action
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;38;1;1.51;yes;-0.185451562;others;OTHER;science;1825davy;1800-1849;1825;the protectors of others
0;OF;1;1;non-animate;no;yes;no;no;yes;no;39;0.5;2.51;no;-0.185451562;OTHER;whole;science;1825davy;1800-1849;1825;the whole of a voyage
0;OF;1;2;non-animate;no;yes;yes;no;yes;yes;38;2.01;1;yes;-0.185451562;ships;OTHER;science;1825davy;1800-1849;1825;the copper sheeting of ships
0;OF;4;1;non-animate;no;no;no;no;no;yes;40;3.01;0.5;no;-0.185451562;OTHER;extent;science;1825davy;1800-1849;1825;the extent of the diminution of electrical action
0;OF;5;2;non-animate;no;yes;no;no;yes;no;42;0.5;1;yes;-0.185451562;OTHER;OTHER;science;1825davy;1800-1849;1825;in instances of imperfect or irregular conducting surfaces
0;OF;3;2;non-animate;no;yes;yes;no;yes;yes;35;4.52;3.01;no;-0.185451562;OTHER;effects;science;1825davy;1800-1849;1825;the preservative effects of zinc or iron
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;41;1.51;3.01;no;-0.185451562;OTHER;OTHER;science;1825davy;1800-1849;1825;the cleanness of the bottom
0;OF;5;1;non-animate;no;yes;no;no;yes;yes;41;0.5;0.5;no;-0.185451562;OTHER;OTHER;science;1825davy;1800-1849;1825;the absorption of the oxygen dissolved in the water
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;41;5.02;1;no;-0.185451562;OTHER;proportion;science;1825davy;1800-1849;1825;the proportion of this metal
0;OF;1;2;non-animate;no;yes;yes;no;yes;yes;36;7.02;2.51;no;-0.185451562;OTHER;effect;science;1825davy;1800-1849;1825;the protecting effect of the zinc
0;OF;5;1;non-animate;no;yes;yes;no;yes;yes;36;4.52;2.51;no;-0.185451562;OTHER;whole;science;1825davy;1800-1849;1825;the whole of a quantity of extremely fine wire
0;OF;2;1;non-animate;no;no;no;no;no;no;18;1.96;0.49;no;-0.185451562;society;OTHER;science;1825john;1800-1849;1825;the notice of the royal society
0;OF;1;2;animate;no;yes;no;no;yes;no;45;4.4;0.98;no;-0.185451562;animal;OTHER;science;1825john;1800-1849;1825;the main trunk of the animal
0;OF;2;1;non-animate;no;yes;no;no;yes;no;41;7.33;0.49;no;-0.185451562;head;OTHER;science;1825john;1800-1849;1825;the margin of the smaller head
0;OF;1;1;non-animate;no;yes;no;no;yes;no;39;0.49;0.98;no;-0.185451562;week;course;science;1825john;1800-1849;1825;the course of a week
1;S;1;1;animate;no;yes;no;no;yes;yes;42;1.47;0.49;no;-0.185451562;gentleman;OTHER;science;1825john;1800-1849;1825;gentlemans labours
0;OF;1;2;non-animate;yes;yes;no;yes;yes;no;42;1.47;0.49;no;-0.185451562;OTHER;OTHER;science;1825john;1800-1849;1825;the general contour of the side
0;OF;2;1;non-animate;no;yes;no;no;yes;no;41;7.33;0.49;no;-0.185451562;head;OTHER;science;1825john;1800-1849;1825;the rudiments of a new head
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;43;1.96;0.49;no;-0.185451562;society;time;science;1825john;1800-1849;1825;the time of the society
0;OF;2;1;animate;no;yes;no;no;yes;no;35;4.4;1.47;no;-0.185451562;animal;side;science;1825john;1800-1849;1825;the side of the parent animal
0;OF;2;1;animate;no;yes;no;no;yes;yes;33;5.87;1.96;no;-0.185451562;OTHER;OTHER;science;1825john;1800-1849;1825;the delineation of this double-headed planaria
0;OF;2;1;non-animate;no;no;no;no;yes;yes;44;0.49;0.49;no;-0.185451562;OTHER;accuracy;science;1825john;1800-1849;1825;the accuracy of the above report
0;OF;3;1;non-animate;no;yes;no;no;yes;no;41;0.98;0.49;no;-0.185451562;OTHER;OTHER;science;1825john;1800-1849;1825;the lapse of nearly a fortnight
0;OF;1;2;non-animate;no;yes;no;no;yes;no;41;1.47;4.4;yes;-0.185451562;OTHER;OTHER;science;1825john;1800-1849;1825;the remaining species of this genus
0;OF;1;1;animate;no;no;no;no;yes;no;49;4.4;0.49;no;-0.185451562;animal;command;science;1825john;1800-1849;1825;command of the animal
0;OF;1;1;non-animate;no;no;no;no;no;no;44;0.98;1.96;no;-0.185451562;OTHER;result;science;1825john;1800-1849;1825;the result of this experiment
0;OF;3;1;animate;no;yes;no;no;yes;no;41;4.4;1.47;yes;-0.185451562;animals;history;science;1825john;1800-1849;1825;the history of these very extraordinary animals
0;OF;2;4;animate;no;no;no;no;yes;no;44;4.4;0.49;no;-0.185451562;animal;OTHER;science;1825john;1800-1849;1825;the active principle or germ of the future animal
