depvar;depvar_binary;genitive_type;por_length_words;pum_length_words;animacy;alpha_persistence_S;alpha_persistence_OF;alpha_persistence_NN;beta_persistence_S;beta_persistence_OF;beta_persistence_NN;TTR;por_thematicity_ptw;pum_thematicity_ptw;final_sibilancy;time;por_head_noun;pum_head_noun;register;filename;period;year;gen_phrase
1;0;OF;1;2;non-animate;no;no;no;no;yes;no;38;0.96;0.96;no;-1.215451562;OTHER;OTHER;science;1722cay;1700-1749;1722;the same parallel of altitude
2;0;S;1;1;non-animate;no;yes;no;no;yes;no;35;15.39;2.41;no;-1.215451562;sun;OTHER;science;1722cay;1700-1749;1722;suns disk
1;0;OF;1;1;non-animate;yes;no;no;yes;yes;yes;41;0.48;5.77;no;-1.215451562;OTHER;OTHER;science;1722cay;1700-1749;1722;the colours of the rainbow
1;0;OF;1;1;non-animate;no;no;no;no;yes;yes;43;2.89;1.44;no;-1.215451562;OTHER;OTHER;science;1722cay;1700-1749;1722;the scheme of the parhelion
1;0;OF;1;2;non-animate;no;no;no;no;yes;no;39;0.96;0.96;no;-1.215451562;OTHER;OTHER;science;1722cay;1700-1749;1722;the same parallel of altitude
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;42;3.37;0.48;no;-1.215451562;OTHER;edges;science;1722cay;1700-1749;1722;the edges of the plank
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;33;2.89;0.96;no;-1.215451562;OTHER;diameter;science;1722cay;1700-1749;1722;the diameter of the parhelion
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;39;0.96;0.48;yes;-1.215451562;OTHER;surface;science;1722cay;1700-1749;1722;the surface of the timbers
3;1;NN;1;1;non-animate;no;yes;no;no;yes;yes;34;0.48;0.48;no;-1.215451562;OTHER;OTHER;science;1722cay;1700-1749;1722;the NN-gun deck-clamps
1;0;OF;1;1;non-animate;yes;no;no;yes;no;no;43;0.99;0.49;no;-1.215451562;london;OTHER;science;1722grah;1700-1749;1722;the meridian of london
2;0;S;1;1;non-animate;no;yes;no;no;yes;no;41;2.46;3.94;no;-1.215451562;sun;diameter;science;1722grah;1700-1749;1722;suns diameter
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;35;2.46;1.97;no;-1.215451562;OTHER;surface;science;1722grah;1700-1749;1722;the surface of the drop
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;41;0.49;2.46;no;-1.215451562;water;OTHER;science;1722grah;1700-1749;1722;the refraction of the water
1;0;OF;2;1;non-animate;no;yes;no;no;yes;yes;38;0.49;1.97;no;-1.215451562;OTHER;OTHER;science;1722grah;1700-1749;1722;the angles of their inclination
1;0;OF;1;1;non-animate;no;no;no;no;yes;yes;40;2.46;0.49;no;-1.215451562;OTHER;formation;science;1722grah;1700-1749;1722;the formation of the rainbow
1;0;OF;1;1;non-animate;no;no;no;no;yes;yes;42;0.99;0.49;yes;-1.215451562;OTHER;OTHER;science;1722grah;1700-1749;1722;the diversity of colours
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;38;0.49;0.49;yes;-1.215451562;glass;middle;science;1722grah;1700-1749;1722;the middle of the glass
1;0;OF;3;1;non-animate;no;yes;no;no;yes;yes;40;1.48;0.49;yes;-1.215451562;OTHER;magnitude;science;1722grah;1700-1749;1722;the magnitude of the drops of rain
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;34;1.48;1.48;no;-1.215451562;OTHER;OTHER;science;1722grah;1700-1749;1722;the drops of rain
1;0;OF;3;1;non-animate;no;yes;no;no;yes;yes;35;12.81;4.43;no;-1.215451562;angle;sine;science;1722grah;1700-1749;1722;the sine of the angle of incidence
1;0;OF;2;1;non-animate;no;yes;no;no;yes;yes;30;12.81;4.43;no;-1.215451562;angle;sine;science;1722grah;1700-1749;1722;the sine of the refracted angle
1;0;OF;3;1;non-animate;no;yes;no;no;yes;yes;24;3.94;1.48;no;-1.215451562;OTHER;ratio;science;1722grah;1700-1749;1722;the ratio of ih to ig
1;0;OF;2;1;non-animate;no;no;no;no;yes;no;40;6.9;0.99;no;-1.215451562;circle;center;science;1722grah;1700-1749;1722;the center of the d circle
1;0;OF;3;1;non-animate;no;yes;no;no;yes;yes;28;12.81;4.43;no;-1.215451562;angle;sine;science;1722grah;1700-1749;1722;the sine of the angle of incidence
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;26;3.94;10.84;no;-1.215451562;fh;square;science;1722grah;1700-1749;1722;the square of fh
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;25;1.97;10.84;no;-1.215451562;OTHER;square;science;1722grah;1700-1749;1722;the square of hi
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;25;5.42;10.84;no;-1.215451562;OTHER;square;science;1722grah;1700-1749;1722;the square of fg
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;24;4.43;10.84;no;-1.215451562;OTHER;square;science;1722grah;1700-1749;1722;the square of gi
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;23;3.94;10.84;no;-1.215451562;fh;square;science;1722grah;1700-1749;1722;the square of fh
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;19;2.46;10.84;no;-1.215451562;OTHER;square;science;1722grah;1700-1749;1722;the square of fi
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;24;5.42;10.84;no;-1.215451562;OTHER;square;science;1722grah;1700-1749;1722;the square of fg
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;24;4.43;10.84;no;-1.215451562;OTHER;square;science;1722grah;1700-1749;1722;the square of gi
1;0;OF;3;1;non-animate;no;yes;no;no;yes;no;25;5.42;1.97;no;-1.215451562;OTHER;excess;science;1722grah;1700-1749;1722;the excess of the square of fg
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;22;3.94;10.84;no;-1.215451562;fh;square;science;1722grah;1700-1749;1722;the square of fh
1;0;OF;3;1;non-animate;no;yes;no;no;yes;no;24;2.46;1.97;no;-1.215451562;OTHER;excess;science;1722grah;1700-1749;1722;the excess of the square of ih
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;23;3.94;10.84;no;-1.215451562;OTHER;square;science;1722grah;1700-1749;1722;the square of ig
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;22;4.43;10.84;no;-1.215451562;OTHER;square;science;1722grah;1700-1749;1722;the square of gi
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;26;0.49;1.48;yes;-1.215451562;OTHER;difference;science;1722grah;1700-1749;1722;the difference of the antecedents
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;26;0.49;1.48;yes;-1.215451562;OTHER;difference;science;1722grah;1700-1749;1722;the difference of the consequents
1;0;OF;2;1;non-animate;no;yes;no;no;yes;no;27;3.94;10.84;no;-1.215451562;fh;square;science;1722grah;1700-1749;1722;the square of half fh
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;27;0.49;10.84;no;-1.215451562;OTHER;square;science;1722grah;1700-1749;1722;the square of am
1;0;OF;3;1;non-animate;no;yes;no;no;yes;no;27;10.84;1.97;no;-1.215451562;OTHER;excess;science;1722grah;1700-1749;1722;the excess of the square of ih
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;26;3.94;10.84;no;-1.215451562;OTHER;square;science;1722grah;1700-1749;1722;the square of ig
1;0;OF;6;1;non-animate;no;yes;no;no;yes;yes;24;10.84;1.97;no;-1.215451562;OTHER;excess;science;1722grah;1700-1749;1722;the excess of the square of the sine of incidence
1;0;OF;3;1;non-animate;no;yes;no;no;yes;yes;19;4.43;10.84;no;-1.215451562;sine;square;science;1722grah;1700-1749;1722;the square of the sine of refraction
1;0;OF;3;1;non-animate;no;yes;no;no;yes;yes;19;4.43;10.84;no;-1.215451562;sine;square;science;1722grah;1700-1749;1722;the square of the sine of refraction
1;0;OF;1;2;non-animate;no;yes;no;no;yes;no;39;6.9;1.97;no;-1.215451562;circle;surface;science;1722grah;1700-1749;1722;the farther surface of the circle
1;0;OF;1;1;non-animate;no;no;no;no;no;yes;42;6.9;0.99;no;-1.215451562;circle;center;science;1722grah;1700-1749;1722;the center of the circle
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;37;6.9;0.99;no;-1.215451562;circle;OTHER;science;1722grah;1700-1749;1722;the semidiameter of the circle
1;0;OF;9;1;non-animate;no;yes;no;no;yes;yes;32;4.43;1.48;no;-1.215451562;sine;ratio;science;1722grah;1700-1749;1722;the ratio of the sine of incidence to the sine of refraction
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;29;2.46;4.43;no;-1.215451562;OTHER;sine;science;1722grah;1700-1749;1722;the sine of refraction
1;0;OF;3;1;non-animate;no;yes;no;no;yes;no;36;12.81;4.43;no;-1.215451562;angle;sine;science;1722grah;1700-1749;1722;the sine of the angle of incidence
1;0;OF;2;1;non-animate;no;yes;no;no;yes;no;34;12.81;4.43;no;-1.215451562;angle;sine;science;1722grah;1700-1749;1722;the sine of the refracted angle
1;0;OF;1;1;non-animate;yes;yes;no;yes;yes;no;35;2.46;1.97;no;-1.215451562;OTHER;beginning;science;1722grah;1700-1749;1722;the beginning of the eclipse
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;42;0.45;1.36;yes;-1.205451562;OTHER;OTHER;news;1723dai1.n3b;1700-1749;1723;the cardinal of saxe-zeits
1;0;OF;4;1;non-animate;no;yes;no;no;yes;yes;42;0.45;1.82;no;-1.205451562;OTHER;OTHER;news;1723dai1.n3b;1700-1749;1723;the frontiers of the russian and polish ukrain
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;43;1.36;1.82;no;-1.205451562;OTHER;OTHER;news;1723dai1.n3b;1700-1749;1723;constable of the tower
1;0;OF;4;1;animate;no;yes;no;no;yes;yes;45;1.82;0.91;no;-1.205451562;OTHER;OTHER;news;1723dai1.n3b;1700-1749;1723;the salary of the constable of the tower
1;0;OF;2;3;non-animate;no;yes;no;no;yes;yes;40;0.91;0.45;no;-1.205451562;OTHER;OTHER;news;1723dai1.n3b;1700-1749;1723;the honour and title of chief governor
1;0;OF;1;1;non-animate;no;no;yes;no;yes;yes;41;0.91;0.45;no;-1.205451562;OTHER;OTHER;news;1723dai1.n3b;1700-1749;1723;dean of the chapel
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;43;0.45;0.45;yes;-1.205451562;OTHER;OTHER;news;1723dai1.n3b;1700-1749;1723;the passes of the mountains
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;45;0.45;1.82;no;-1.205451562;OTHER;day;news;1723dai1.n3b;1700-1749;1723;the day of the publication
1;0;OF;2;1;non-animate;no;no;no;no;no;no;41;0.45;0.45;no;-1.205451562;OTHER;OTHER;news;1723dai1.n3b;1700-1749;1723;the 10th of february next
1;0;OF;4;1;animate;no;yes;no;no;yes;yes;40;0.91;0.45;yes;-1.205451562;OTHER;OTHER;news;1723dai1.n3b;1700-1749;1723;the subdelegates of the intendants of the provinces
1;0;OF;1;2;animate;no;yes;no;no;yes;yes;38;0.45;1.36;yes;-1.205451562;OTHER;company;news;1723dai1.n3b;1700-1749;1723;the first company of mousquetaires
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;39;0.45;1.82;no;-1.205451562;OTHER;OTHER;news;1723dai1.n3b;1700-1749;1723;the office of the wardrobe
1;0;OF;2;1;non-animate;no;yes;no;yes;yes;yes;41;0.45;0.45;yes;-1.205451562;OTHER;OTHER;news;1723dai1.n3b;1700-1749;1723;brigadier of his majestys armies
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;43;0.45;0.45;no;-1.205451562;OTHER;OTHER;news;1723dai1.n3b;1700-1749;1723;the errors of quakerism
1;0;OF;1;2;non-animate;no;no;no;no;yes;yes;43;0.44;0.88;yes;-1.205451562;congress;opening;news;1723dai2.n3b;1700-1749;1723;the speedy opening of the congress
1;0;OF;1;1;non-animate;no;no;no;no;yes;yes;44;0.44;0.44;yes;-1.205451562;OTHER;OTHER;news;1723dai2.n3b;1700-1749;1723;the vibration of the pendulums
1;0;OF;3;1;non-animate;no;yes;no;no;yes;yes;43;0.44;1.75;no;-1.205451562;OTHER;OTHER;news;1723dai2.n3b;1700-1749;1723;the gentlemen of the academy of sciences
1;0;OF;1;1;non-animate;no;yes;no;yes;yes;no;43;3.07;0.44;no;-1.205451562;church;OTHER;news;1723dai2.n3b;1700-1749;1723;the roof of the church
1;0;OF;4;4;non-animate;yes;yes;no;yes;yes;no;33;0.44;0.44;yes;-1.205451562;guards;OTHER;news;1723dai2.n3b;1700-1749;1723;last two strong detachments of the horse and grenadier guards
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;39;2.19;0.44;no;-1.205451562;fire;OTHER;news;1723dai2.n3b;1700-1749;1723;the quenching of the fire
1;0;OF;1;2;non-animate;no;yes;no;no;yes;no;35;0.48;0.48;yes;-1.205451562;OTHER;level;science;1723thor;1700-1749;1723;the great level of the fens
1;0;OF;2;2;non-animate;yes;yes;no;yes;yes;no;40;1.43;2.86;no;-1.205451562;metal;length;science;1723thor;1700-1749;1723;the focal length of the object metal
1;0;OF;2;1;non-animate;no;yes;no;no;yes;yes;39;3.81;0.48;yes;-1.205451562;OTHER;OTHER;science;1723thor;1700-1749;1723;the transits of jupiters satellites
1;0;OF;1;1;non-animate;yes;yes;no;yes;yes;no;41;3.34;0.95;no;-1.205451562;OTHER;OTHER;science;1723thor;1700-1749;1723;the disk of jupiter
2;0;S;1;1;non-animate;yes;yes;no;yes;yes;no;37;5.72;7.15;no;-1.205451562;saturn;OTHER;science;1723thor;1700-1749;1723;saturns ring
1;0;OF;3;1;non-animate;no;no;no;no;yes;no;45;5.72;3.81;no;-1.205451562;saturn;OTHER;science;1723thor;1700-1749;1723;the satellites of jupiter and saturn
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;38;2.38;2.86;no;-1.205451562;planet;body;science;1723thor;1700-1749;1723;the body of the planet
1;0;OF;1;2;non-animate;no;yes;no;no;yes;no;31;7.15;1.91;no;-1.205451562;ring;edge;science;1723thor;1700-1749;1723;the upper edge of the ring
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;42;2.38;2.86;no;-1.205451562;planet;body;science;1723thor;1700-1749;1723;the body of that planet
2;0;S;1;1;non-animate;no;yes;no;no;yes;no;40;3.34;3.81;no;-1.205451562;OTHER;OTHER;science;1723thor;1700-1749;1723;jupiters satellites
1;0;OF;1;1;non-animate;yes;yes;no;no;yes;no;42;5.72;7.15;no;-1.205451562;saturn;OTHER;science;1723thor;1700-1749;1723;the ring of saturn
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;41;7.15;3.34;no;-1.205451562;ring;part;science;1723thor;1700-1749;1723;that part of the ring
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;38;2.38;0.95;no;-1.205451562;planet;OTHER;science;1723thor;1700-1749;1723;the globe of the planet
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;36;5.72;0.95;no;-1.205451562;saturn;OTHER;science;1723thor;1700-1749;1723;the globe of saturn
1;0;OF;1;2;non-animate;no;yes;no;no;yes;no;31;7.15;3.34;no;-1.205451562;ring;part;science;1723thor;1700-1749;1723;the inner part of the ring
1;0;OF;1;2;non-animate;no;yes;no;no;yes;yes;42;0.48;0.95;no;-1.205451562;OTHER;OTHER;science;1723thor;1700-1749;1723;the famous steeple of boston
1;0;OF;1;2;non-animate;no;yes;no;no;yes;yes;32;7.15;1.91;no;-1.205451562;ring;edge;science;1723thor;1700-1749;1723;the inner edge of the ring
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;33;0.48;0.95;no;-1.205451562;OTHER;breadth;science;1723thor;1700-1749;1723;the breadth of the ellipse
1;0;OF;2;1;non-animate;no;yes;no;no;yes;no;39;0.48;0.48;no;-1.205451562;OTHER;OTHER;science;1723thor;1700-1749;1723;the corner-house of st martins-lane
1;0;OF;5;1;non-animate;no;yes;no;no;yes;no;41;0.48;0.48;no;-1.205451562;OTHER;OTHER;science;1723thor;1700-1749;1723;the record of the foundation of the said steeple
3;1;NN;1;1;non-animate;no;yes;no;no;yes;no;36;0.95;0.95;no;-1.205451562;OTHER;OTHER;science;1723thor;1700-1749;1723;the NN-shoe soles
1;0;OF;1;2;non-animate;yes;no;yes;yes;no;no;37;13.43;0.5;no;-1.195451562;OTHER;OTHER;science;1724brad;1700-1749;1724;the same parallel of declination
1;0;OF;1;1;non-animate;yes;no;yes;yes;no;yes;45;2.98;0.5;no;-1.195451562;moon;light;science;1724brad;1700-1749;1724;the light of the moon
1;0;OF;1;1;non-animate;yes;yes;yes;yes;yes;no;43;1.99;0.5;no;-1.195451562;observation;OTHER;science;1724brad;1700-1749;1724;the particulars of the observation
1;0;OF;1;1;non-animate;no;yes;yes;no;yes;no;43;28.84;0.5;no;-1.195451562;OTHER;OTHER;science;1724brad;1700-1749;1724;the tract of this comet
1;0;OF;1;1;non-animate;no;yes;yes;no;yes;no;35;0.99;1.49;no;-1.195451562;OTHER;theory;science;1724brad;1700-1749;1724;the theory of gravity
1;0;OF;1;1;non-animate;no;yes;yes;no;yes;no;33;1.99;6.46;no;-1.195451562;observation;time;science;1724brad;1700-1749;1724;the time of observation
1;0;OF;1;1;non-animate;no;yes;yes;no;yes;yes;34;1.99;1.99;no;-1.195451562;OTHER;distance;science;1724brad;1700-1749;1724;the distance of the perihelion
1;0;OF;2;1;non-animate;no;yes;yes;no;yes;no;29;1.99;0.99;yes;-1.195451562;distance;OTHER;science;1724brad;1700-1749;1724;the logarithm of the NN-perihelion distance
3;1;NN;1;1;non-animate;no;yes;no;no;yes;no;28;1.99;1.99;no;-1.195451562;OTHER;distance;science;1724brad;1700-1749;1724;the NN-perihelion distance
1;0;OF;2;1;non-animate;no;yes;yes;no;yes;yes;27;1.49;0.99;no;-1.195451562;motion;OTHER;science;1724brad;1700-1749;1724;the logarithm of the diurnal motion
1;0;OF;5;1;non-animate;no;yes;yes;no;yes;yes;26;1.49;6.46;yes;-1.195451562;OTHER;time;science;1724brad;1700-1749;1724;the time of the comets being in its perihelion
1;0;OF;1;1;non-animate;yes;yes;yes;yes;yes;yes;30;28.84;1.49;no;-1.195451562;OTHER;motion;science;1724brad;1700-1749;1724;the motion of the comet
1;0;OF;1;1;non-animate;yes;yes;no;no;yes;no;36;0.47;4.19;no;-1.195451562;OTHER;part;science;1724fair;1700-1749;1724;the part of the graft
1;0;OF;1;1;non-animate;yes;no;no;no;no;no;44;0.93;0.47;no;-1.195451562;room;OTHER;science;1724fair;1700-1749;1724;the ceiling of the room
1;0;OF;1;2;non-animate;yes;no;no;no;no;no;38;3.72;2.33;no;-1.195451562;OTHER;bottom;science;1724fair;1700-1749;1724;the sedge bottom of the chair
2;0;S;1;1;non-animate;no;no;no;no;yes;no;34;3.72;2.33;no;-1.195451562;OTHER;bottom;science;1724fair;1700-1749;1724;chairs bottom
1;0;OF;1;1;non-animate;yes;yes;no;yes;yes;no;40;3.72;2.33;no;-1.195451562;OTHER;bottom;science;1724fair;1700-1749;1724;the bottom of the chair
1;0;OF;2;1;non-animate;no;no;no;no;no;no;44;0.93;0.47;no;-1.195451562;OTHER;OTHER;science;1724fair;1700-1749;1724;the manner of its beating
1;0;OF;3;1;non-animate;no;no;no;no;yes;yes;39;0.93;1.86;no;-1.195451562;OTHER;length;science;1724fair;1700-1749;1724;the length of half an inch
1;0;OF;1;1;non-animate;yes;no;no;no;no;yes;38;0.47;1.86;no;-1.195451562;OTHER;course;science;1724fair;1700-1749;1724;the course of the sap
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;34;3.26;1.4;yes;-1.195451562;OTHER;OTHER;science;1724fair;1700-1749;1724;the coat of the sedge
3;1;NN;1;1;non-animate;no;yes;no;no;yes;yes;34;0.93;0.47;no;-1.195451562;OTHER;OTHER;science;1724fair;1700-1749;1724;NN-food sake
1;0;OF;2;1;non-animate;no;no;no;no;yes;yes;41;0.93;0.47;no;-1.195451562;OTHER;OTHER;science;1724fair;1700-1749;1724;the preparation of its food
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;38;2.33;0.47;no;-1.195451562;box;OTHER;science;1724fair;1700-1749;1724;the lid of the box
1;0;OF;1;1;animate;no;yes;no;no;yes;no;40;3.26;2.33;no;-1.195451562;OTHER;head;science;1724fair;1700-1749;1724;the head of the insect
1;0;OF;3;1;non-animate;yes;yes;no;no;yes;yes;38;0.93;0.47;no;-1.195451562;OTHER;OTHER;science;1724fair;1700-1749;1724;the system of gardening and planting
1;0;OF;1;1;non-animate;no;no;yes;no;yes;yes;41;0.47;1.86;no;-1.195451562;OTHER;middle;science;1724fair;1700-1749;1724;the middle of the channel
1;0;OF;1;2;non-animate;yes;yes;no;no;yes;yes;38;0.93;0.93;no;-1.195451562;OTHER;OTHER;science;1724fair;1700-1749;1724;the evergreen oak of virginia
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;41;2.79;0.47;no;-1.195451562;current;OTHER;science;1724fair;1700-1749;1724;the strength of the current
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;40;0.93;1.86;no;-1.195451562;OTHER;middle;science;1724fair;1700-1749;1724;the middle of the gut
1;0;OF;2;1;non-animate;yes;no;no;no;no;yes;36;0.47;0.47;yes;-1.195451562;OTHER;OTHER;science;1724fair;1700-1749;1724;the variety of foreign oaks
1;0;OF;1;1;non-animate;yes;yes;no;no;yes;no;44;0.47;0.93;no;-1.195451562;OTHER;OTHER;science;1724fair;1700-1749;1724;the wood of the apple-tree
1;0;OF;1;2;non-animate;yes;no;no;no;yes;yes;36;0.47;1.4;no;-1.195451562;OTHER;OTHER;science;1724fair;1700-1749;1724;the spungy juices of the stock
3;1;NN;2;1;non-animate;yes;no;no;no;yes;yes;38;0.47;1.4;no;-1.195451562;OTHER;OTHER;science;1724fair;1700-1749;1724;the new NN-england cedar
1;0;OF;1;1;non-animate;no;no;no;no;no;no;7;2.77;6.01;no;-1.185451562;OTHER;height;science;1725nett;1700-1749;1725;the height of the barometer
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;34;3.7;0.92;no;-1.185451562;air;density;science;1725nett;1700-1749;1725;the density of the air
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;39;0.46;0.92;yes;-1.185451562;OTHER;OTHER;science;1725nett;1700-1749;1725;the logarithms of the densities
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;37;3.7;0.92;no;-1.185451562;air;weight;science;1725nett;1700-1749;1725;the weight of the air
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;30;7.4;6.01;no;-1.185451562;mercury;height;science;1725nett;1700-1749;1725;the height of the mercury
1;0;OF;4;1;non-animate;yes;yes;no;yes;yes;no;30;1.39;0.92;yes;-1.185451562;OTHER;OTHER;science;1725nett;1700-1749;1725;the logarithms of the heights of the mercury
1;0;OF;1;2;non-animate;no;no;no;no;no;yes;39;7.4;6.01;no;-1.185451562;mercury;height;science;1725nett;1700-1749;1725;the standard height of the mercury
1;0;OF;5;1;non-animate;no;no;no;no;no;no;43;0.46;0.92;yes;-1.185451562;OTHER;OTHER;science;1725nett;1700-1749;1725;the tops of some of our neighbouring mountains
1;0;OF;1;1;non-animate;no;no;no;no;no;no;37;1.39;0.46;no;-1.185451562;OTHER;effects;science;1725nett;1700-1749;1725;the effects of lightning
3;1;NN;1;1;non-animate;no;no;no;no;yes;yes;45;0.46;0.46;no;-1.185451562;OTHER;OTHER;science;1725nett;1700-1749;1725;NN-fairy circles
2;0;S;2;1;non-animate;no;no;no;no;yes;yes;47;0.92;1.85;yes;-1.185451562;OTHER;distance;science;1725nett;1700-1749;1725;30 yards distance
1;0;OF;1;2;non-animate;yes;no;no;yes;yes;no;43;1.85;1.85;no;-1.185451562;head;part;science;1725nett;1700-1749;1725;the upper part of his head
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;37;1.39;0.46;no;-1.185451562;OTHER;OTHER;science;1725nett;1700-1749;1725;the sole of his foot
1;0;OF;1;1;non-animate;no;no;no;no;no;no;40;0.46;3.24;no;-1.185451562;OTHER;top;science;1725nett;1700-1749;1725;the top of a mountain
1;0;OF;1;1;non-animate;no;no;no;no;yes;yes;42;1.85;0.46;no;-1.185451562;head;OTHER;science;1725nett;1700-1749;1725;the hair of his head
1;0;OF;1;2;non-animate;no;yes;yes;no;yes;yes;40;0.46;0.46;no;-1.185451562;OTHER;OTHER;science;1725nett;1700-1749;1725;NN-iron buckle of his belt
3;1;NN;1;1;non-animate;no;yes;yes;no;yes;yes;41;0.92;0.92;no;-1.185451562;iron;OTHER;science;1725nett;1700-1749;1725;an NN-iron ball
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;41;3.24;0.46;no;-1.185451562;OTHER;OTHER;science;1725nett;1700-1749;1725;the owner of the ground
1;0;OF;1;1;non-animate;no;no;yes;no;no;yes;47;1.39;1.39;no;-1.145451562;OTHER;OTHER;letters;1729dfoe.x3b;1700-1749;1729;the barrs of a castle
1;0;OF;2;1;animate;no;no;no;no;yes;no;14;0.3;0.3;no;-1.085451562;OTHER;OTHER;news;1735rea1.n3b;1700-1749;1735;the convent of st paul
1;0;OF;1;2;animate;no;yes;no;no;yes;yes;42;0.3;0.3;yes;-1.085451562;OTHER;company;news;1735rea1.n3b;1700-1749;1735;the hon company of hunters
1;0;OF;2;1;non-animate;no;yes;no;no;yes;no;26;1.21;0.3;no;-1.085451562;church;OTHER;news;1735rea1.n3b;1700-1749;1735;the door of their church
1;0;OF;1;1;non-animate;no;no;no;no;yes;no;43;1.21;0.61;no;-1.085451562;OTHER;OTHER;news;1735rea1.n3b;1700-1749;1735;register of the university
1;0;OF;4;1;animate;no;yes;no;no;yes;no;40;0.3;0.91;no;-1.085451562;OTHER;OTHER;news;1735rea1.n3b;1700-1749;1735;the room of dr newton lately deceased
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;43;0.3;0.3;yes;-1.085451562;peace;OTHER;news;1735rea1.n3b;1700-1749;1735;the re-establishment of the peace
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;45;0.61;0.3;yes;-1.085451562;OTHER;OTHER;news;1735rea1.n3b;1700-1749;1735;the court-yard of the palace
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;42;2.12;0.61;no;-1.085451562;ship;OTHER;news;1735rea1.n3b;1700-1749;1735;the hull of a ship
3;1;NN;1;1;non-animate;no;no;no;no;yes;yes;39;2.12;0.3;no;-1.085451562;yesterday;afternoon;news;1735rea1.n3b;1700-1749;1735;yesterday NN-afternoon
1;0;OF;2;1;non-animate;no;yes;no;no;yes;yes;42;0.3;0.3;no;-1.085451562;OTHER;OTHER;news;1735rea1.n3b;1700-1749;1735;the repeal of the patronage act
1;0;OF;1;2;non-animate;no;no;no;no;yes;yes;46;0.3;0.61;no;-1.085451562;OTHER;side;news;1735rea1.n3b;1700-1749;1735;the other side of the river
1;0;OF;1;1;non-animate;no;no;yes;no;no;yes;43;0.43;2.17;no;-1.085451562;OTHER;assembly;news;1735rea2.n3b;1700-1749;1735;the assembly of the clergy
1;0;OF;3;1;non-animate;yes;yes;no;yes;yes;yes;42;0.43;0.43;yes;-1.085451562;OTHER;OTHER;news;1735rea2.n3b;1700-1749;1735;keeper of the books of stamps
1;0;OF;1;1;non-animate;no;no;no;no;no;yes;39;0.43;0.43;no;-1.085451562;room;corner;news;1735rea2.n3b;1700-1749;1735;the corner of his room
1;0;OF;1;1;non-animate;yes;no;no;yes;yes;yes;41;3.46;0.43;no;-1.085451562;may;OTHER;news;1735rea2.n3b;1700-1749;1735;the 17th of may
3;1;NN;1;1;non-animate;no;yes;no;no;yes;no;42;4.3;2.15;no;-1.075451562;future;ministers;letters;1736swft.x3b;1700-1749;1736;NN-future ministers
